count,tInitial,tFinal,accel_x,accel_y,accel_z,accel_high,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,temp,status
0,891,901,2,11,908,335,193,-817,109,377,-10081,-14474,0,0
1,903,912,0,5,903,527,196,-818,109,233,-9949,-14534,-16384,0
3,1022,1032,2,6,904,79,193,-814,109,107,-9829,-14857,-32768,0
4,1034,1044,-4,-2,906,15,201,-817,104,317,-10141,-14749,16384,0
6,1156,1166,2,8,909,623,202,-820,107,113,-9955,-14809,0,0
7,1168,1178,1,5,906,447,201,-818,110,269,-9859,-14851,0,0
9,1290,1300,2,15,913,47,197,-816,109,257,-9770,-14713,-32768,0
10,1302,1312,0,5,914,207,201,-816,109,281,-9859,-14725,0,0
12,1424,1434,174,9,918,31,200,-820,108,-17,-9985,-14665,-32768,0
13,1436,1445,0,15,908,127,195,-822,108,191,-9979,-14779,0,0
15,1555,1564,1,9,916,-79,196,-821,110,269,-10069,-14617,16384,0
16,1567,1576,2,10,911,-47,195,-818,110,233,-9925,-14534,16384,0
18,1696,1706,2,8,920,511,200,-820,114,281,-10123,-14474,-32768,0
19,1708,1718,-5,9,917,335,194,-817,107,197,-10009,-14611,0,0
21,1830,1840,2,8,917,79,196,-814,112,317,-10141,-14737,-32768,0
22,1842,1851,2,6,913,191,200,-815,108,191,-10015,-14504,16384,0
24,1963,1973,-2,1,917,255,196,-816,112,215,-9907,-14959,0,0
25,1975,1985,0,8,921,271,200,-816,110,149,-10123,-14983,-32768,0
27,2094,2104,1,14,917,319,201,-818,106,5,-10045,-14701,-16384,0
28,2106,2116,-1,8,921,367,199,-821,112,149,-9979,-14683,-32768,0
30,2228,2237,6,2,915,303,197,-825,106,-35,-9901,-14617,-32768,0
31,2239,2249,-5,3,924,447,200,-817,109,221,-10123,-14582,0,0
33,2361,2371,2,13,920,47,199,-818,112,-65,-10069,-14671,-16384,0
34,2373,2383,1,5,926,63,202,-818,112,167,-10177,-14821,16384,0
36,2502,2512,3,4,923,543,38,91,-93,149,-10027,-14528,0,0
37,2514,2524,-1,6,916,15,26,138,-89,203,-10105,-14444,16384,0
39,2633,2643,0,15,922,143,-18,308,-81,-137,-10081,-14881,-32768,0
40,2645,2655,1,10,915,271,-17,309,-81,-65,-10003,-14809,0,0
42,2767,2776,2,10,916,63,-14,267,-70,53,-10063,-14480,-16384,0
43,2779,2788,2,15,926,415,-10,261,-64,215,-10183,-14923,-16384,0
45,2901,2910,-2,10,927,287,-3,193,-37,95,-10045,-15126,16384,0
46,2912,2922,-2,12,927,127,2,194,-32,5,-10087,-15066,-32768,0
48,3034,3044,-2,7,924,159,14,114,-21,215,-10189,-14821,16384,0
49,3046,3056,0,9,919,399,19,112,-20,17,-10237,-14582,16384,0
51,3172,3182,1,8,932,447,33,49,-28,17,-9985,-14647,-16384,0
52,3187,3197,0,4,922,143,38,35,-33,0,-9955,-14546,16384,0
54,3306,3316,4,6,925,0,38,36,-35,-41,-9907,-14659,-16384,0
55,3318,3328,-2,4,921,255,38,32,-38,11,-10033,-14576,-32768,0
57,3440,3450,-6,13,920,623,37,32,-36,179,-9895,-14701,-32768,0
58,3452,3461,6,6,932,15,35,33,-44,-107,-9764,-14617,16384,0
60,3573,3583,0,17,922,415,40,36,-34,-83,-9943,-14510,-32768,0
61,3585,3595,-4,0,922,591,38,35,-37,-251,-10141,-14588,16384,0
63,3704,3714,-171,5,916,591,37,30,-42,-41,-9949,-14390,-32768,0
64,3719,3728,0,6,922,223,36,34,-34,29,-9985,-14354,-32768,0
66,3838,3848,-4,6,925,-31,37,35,-44,-53,-10105,-14576,0,0
67,3850,3859,0,10,926,287,40,35,-38,101,-9979,-14605,16384,0
69,3979,3989,1,12,920,191,34,32,-40,-143,-9997,-14180,16384,0
70,3991,4001,2,11,916,463,36,35,-38,113,-10039,-14378,-16384,0
72,4113,4123,2,8,922,511,41,29,-40,35,-9949,-14755,0,0
73,4125,4135,-4,10,924,479,37,30,-36,71,-9991,-14426,0,0
75,4247,4257,3,11,933,687,33,33,-41,-119,-9859,-14396,0,0
76,4259,4268,2,13,926,239,32,32,-42,-17,-9913,-14683,0,0
78,4378,4387,2,0,926,511,35,33,-37,-1508,-9889,-14414,-32768,0
79,4390,4399,2,10,922,111,41,28,-40,41,-9907,-14486,16384,0
81,4511,4521,1,4,928,-287,36,37,-38,-197,-9919,-14570,0,0
82,4523,4533,-3,14,924,271,40,24,-38,-107,-9865,-14629,0,0
84,4653,4663,2,17,924,255,34,25,-40,119,-9817,-14845,0,0
85,4665,4674,5,7,935,207,34,36,-41,11,-9871,-14432,16384,0
87,4787,4796,-4,13,935,655,38,35,-37,101,-9674,-14576,-16384,0
88,4799,4808,2,6,923,63,37,29,-45,89,-9704,-14833,0,0
90,4918,4927,0,8,920,127,34,35,-40,29,-9644,-14336,16384,0
91,4929,4939,4,3,920,271,36,29,-40,23,-9829,-14306,0,0
93,5051,5061,-3,7,923,319,32,32,-40,221,-9770,-14510,16384,0
94,5063,5073,3,11,929,191,40,30,-37,215,-9859,-14671,16384,0
96,5185,5195,-2,10,923,-111,34,32,-41,47,-9871,-14863,-32768,0
97,5197,5207,0,13,923,255,37,29,-41,53,-9734,-14875,16384,0
99,5321,5331,2,6,934,175,35,32,-43,203,-9782,-14779,-16384,0
100,5333,5343,-5,4,928,415,34,26,-40,161,-9895,-14767,-32768,0
102,5461,5471,2,9,928,0,36,36,-41,83,-9925,-15060,-32768,0
103,5473,5482,3,8,928,479,41,35,-38,203,-9805,-14779,16384,0
105,5595,5604,-3,8,927,47,38,32,-37,41,-9907,-14803,-32768,0
106,5607,5616,-1,15,926,351,37,36,-40,11,-9961,-15060,-16384,0
108,5729,5738,-175,9,922,-111,32,32,-38,107,-9871,-14647,0,0
109,5740,5750,-1,0,922,111,41,35,-37,47,-9889,-14647,0,0
111,5862,5872,-2,8,918,223,37,30,-41,275,-9722,-14576,16384,0
112,5874,5884,1,11,929,655,32,30,-34,101,-9752,-14582,16384,0
