count,tInitial,tFinal,accel_x,accel_y,accel_z,accel_high,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,temp
0,1281,1290,34,-17,896,47,194,-815,108,12122,31820,-21885,2247
1,1391,1401,32,-19,903,-191,193,-814,112,12278,31958,-22616,2013
2,1414,1423,41,-21,896,143,197,-818,108,12302,31730,-22250,1977
3,1436,1446,30,-23,893,-79,195,-817,107,12260,31844,-22466,1953
4,1459,1469,36,-22,897,511,204,-821,105,12224,31952,-22137,1921
5,1482,1492,32,-21,887,191,196,-820,110,12284,31886,-22448,1907
6,1505,1514,41,-20,903,47,201,-814,106,12320,32012,-22059,1894
7,1527,1537,33,-23,904,-287,195,-814,112,12015,31838,-22298,1864
8,1550,1560,31,-17,895,143,194,-815,107,12266,31910,-22490,1857
9,1573,1583,33,-28,898,-63,200,-820,109,12026,31922,-22184,1853
10,1595,1605,39,-26,908,47,200,-817,107,12152,31700,-22214,1841
11,1618,1628,33,-19,900,-95,192,-815,109,12158,31641,-22083,1835
12,1641,1651,39,-19,904,239,194,-825,110,12242,31659,-22256,1839
13,1664,1674,37,-18,902,271,193,-818,108,12164,31766,-22190,1814
14,1712,1722,37,-20,897,-31,203,-816,110,12068,31760,-22172,1764
15,1735,1745,42,-23,903,127,192,-816,106,12392,31527,-22113,1775
16,1768,1778,42,-32,911,-143,200,-822,101,12188,31712,-22436,1756
17,1791,1801,23,-31,906,479,200,-820,104,12332,31814,-22053,1763
18,1814,1824,35,-32,913,111,196,-818,112,12362,31856,-22196,1762
19,1837,1847,37,-12,914,143,205,-813,112,12440,31802,-22047,1774
20,1860,1870,42,-19,911,-175,201,-813,105,12182,31742,-22053,1784
21,1883,1893,44,-24,910,-95,197,-815,105,12188,31940,-21843,1768
22,1906,1916,35,-18,911,207,200,-815,105,12302,31964,-21987,1779
23,1929,1938,38,-26,915,223,202,-830,110,12440,31790,-22250,1780
24,1952,1961,39,-14,914,127,199,-816,112,12362,31946,-22232,1777
25,1974,1984,39,-15,905,-335,193,-821,104,12284,31928,-22274,1780
26,1997,2007,30,-25,907,-111,196,-820,109,12679,31808,-22083,1774
27,2020,2030,36,-21,906,223,200,-818,107,12290,31850,-22089,1779
28,2070,2080,43,-25,909,-63,197,-818,109,12469,31916,-22101,1737
29,2093,2102,35,-19,908,207,203,-813,112,12428,31856,-22172,1735
30,2115,2125,37,-19,912,47,199,-816,113,12212,31659,-22250,1742
31,2138,2148,30,-13,912,-159,199,-824,107,12392,31820,-22232,1754
32,2161,2171,32,-19,911,111,191,-817,110,12302,31856,-22214,1749
33,2184,2194,37,-15,908,95,196,-818,108,12224,31898,-22268,1759
34,2206,2216,36,-25,911,0,197,-825,108,12212,32006,-22202,1762
35,2229,2239,45,-23,911,63,199,-816,106,12248,31796,-22089,1760
36,2252,2262,36,-16,911,-191,204,-812,109,12308,31898,-21999,1773
37,2275,2285,36,-26,904,255,199,-818,110,12290,31736,-22149,1763
38,2298,2307,34,-17,913,-495,196,-821,109,12164,31748,-22406,1761
39,2320,2330,36,-20,907,207,195,-813,108,12254,31665,-22167,1773
40,2343,2353,35,-26,913,-207,203,-827,109,12248,31772,-22238,1770
41,2366,2376,35,-17,917,-527,201,-820,108,12164,31814,-22376,1767
42,2392,2402,30,-25,913,287,201,-818,107,12260,31605,-22107,1766
43,2415,2425,34,-17,918,-367,194,-821,112,12146,31760,-22478,1759
44,2438,2448,39,-19,909,175,200,-823,106,12272,31904,-22400,1770
45,2461,2470,34,-23,911,175,197,-812,109,12104,31629,-22190,1762
46,2483,2493,33,-17,914,175,204,-820,107,11979,31904,-22400,1767
47,2506,2516,34,-28,918,191,194,-816,112,12194,31689,-22167,1769
48,2529,2539,31,-17,917,-143,199,-814,112,12158,31695,-22167,1762
49,2552,2562,39,-21,914,415,197,-816,109,12152,31772,-22059,1762
