count,tInitial,tFinal,accel_M_x,accel_M_y,accel_M_z,accel_H,gyro_M_x,gyro_M_y,gyro_M_z,mag_M_x,mag_M_y,mag_M_z,temp
0,397,405,8,102,906,255,-170,-301,164,20563,16337,26043,"(12721, -267)"
1,488,497,9,108,903,207,-172,-308,167,20426,16558,25834,"(12719, -267)"
2,510,519,2,100,892,95,-167,-303,162,20462,16522,25882,"(12667, -267)"
3,532,541,7,101,902,223,-168,-299,164,20557,16433,25798,"(12684, -267)"
4,554,563,10,114,903,-207,-171,-306,168,20557,16504,25989,"(12667, -267)"
5,576,584,2,110,900,47,-173,-301,160,20587,16409,25941,"(12580, -267)"
6,598,606,8,108,900,-175,-175,-308,162,20521,16283,25965,"(12602, -267)"
7,620,628,3,109,906,31,-168,-303,169,20456,16187,25917,"(12573, -267)"
8,641,650,6,114,900,127,-170,-304,162,20414,16313,26372,"(12620, -267)"
9,663,672,6,106,894,271,-169,-312,158,20468,16283,26037,"(12593, -267)"
10,689,697,7,103,909,207,-175,-301,163,20330,16397,26420,"(12632, -267)"
11,710,719,8,106,903,0,-167,-307,163,20497,16283,26271,"(12535, -267)"
12,732,741,6,99,906,111,-171,-307,167,20348,16421,26468,"(12571, -267)"
13,754,763,4,102,898,111,-172,-305,167,20497,16331,26468,"(12486, -267)"
14,796,804,8,111,906,15,-171,-306,162,20515,16337,26355,"(12453, -267)"
15,818,826,4,105,909,63,-169,-303,167,20312,16492,26420,"(12473, -267)"
16,839,848,11,107,909,127,-169,-306,164,20432,16187,26444,"(12519, -267)"
17,861,870,2,113,915,-127,-175,-305,165,20396,16313,26325,"(12496, -267)"
18,883,892,6,107,907,95,-165,-305,163,20390,16349,26283,"(12462, -267)"
19,905,914,9,108,914,-79,-172,-306,165,20480,16522,26235,"(12494, -267)"
20,931,939,4,99,912,271,-167,-301,162,20497,16385,26402,"(12513, -267)"
21,952,961,4,106,903,-31,-170,-304,164,20491,16265,26426,"(12461, -267)"
22,974,983,6,106,911,255,-171,-309,163,20450,16504,26265,"(12355, -267)"
23,1036,1045,5,106,913,-319,-171,-305,164,20509,16403,26402,"(12326, -267)"
24,1058,1067,2,102,915,-47,-173,-309,160,20288,16498,26396,"(12397, -267)"
25,1080,1089,8,99,913,47,-171,-301,164,20426,16492,26325,"(12325, -267)"
26,1102,1111,8,104,910,15,-172,-301,168,20539,16588,26169,"(12393, -267)"
27,1151,1160,17,107,912,191,-173,-301,163,20372,16379,26271,"(12376, -235)"
28,1174,1182,10,106,917,-63,-168,-303,164,20384,16307,26259,"(12358, -267)"
29,1195,1204,5,106,917,95,-173,-305,160,20318,16421,26396,"(12290, -267)"
30,1221,1229,6,103,901,15,-169,-303,163,20497,16522,26259,"(12266, -235)"
31,1243,1251,6,100,911,-191,-176,-301,164,20336,16385,26127,"(12289, -267)"
32,1265,1273,11,108,915,127,-170,-301,164,20420,16337,25965,"(12285, -267)"
33,1287,1295,13,108,920,31,-176,-309,158,20485,16343,26283,"(12256, -267)"
34,1308,1317,14,110,924,95,-168,-303,161,20414,16522,26384,"(12220, -235)"
35,1330,1339,6,110,916,127,-167,-299,162,20420,16451,26606,"(12255, -267)"
