count,tInitial,tFinal,v_A,v_B,i_A,i_B
8656,260972,261087,-6000,453,28516,-25364
8658,261894,262010,-6013,432,28288,30304
8660,262819,262934,-5997,413,27237,17535
8662,263752,263867,-5990,433,25513,-25493
8664,264673,264788,-5979,427,27685,20655
8666,265597,265712,-6000,440,29795,-26510
8668,266520,266635,-6005,445,25880,22236
8670,267441,267557,-5973,401,26390,-21644
8672,268375,268491,-5995,431,26071,-23048
8674,269299,269414,-5984,457,26550,-21540
8676,270222,270338,-6021,422,28631,-21592
8678,271142,271258,-5995,465,29669,19845
8680,272066,272182,-6004,406,29609,32260
8682,272997,273113,-5998,426,26729,32027
8684,274005,274120,-6004,410,26732,23681
8686,274928,275044,-6010,435,26573,-28852
8688,275852,275967,-6002,442,27421,17664
8690,276772,276887,-5975,413,29073,17114
8692,277695,277811,-6024,400,30226,19461
8694,278618,278734,-5970,417,25199,22987
8696,279558,279674,-5972,417,26612,18968
8698,280482,280597,-6001,433,27529,17772
8700,281405,281520,-5979,384,25802,-25229
8702,282325,282441,-5979,374,28079,29394
8704,283249,283365,-6001,402,30195,19044
8706,284182,284298,-5995,427,25637,26165
8708,285103,285219,-5982,429,28623,-23962
8710,286027,286142,-5985,423,30063,-22497
8712,286958,287074,-5998,457,26534,-21078
8714,287879,287995,-5992,418,25956,24780
8716,288803,288918,-5999,416,28540,-20305
8718,289736,289852,-6007,418,27678,20701
8720,290657,290773,-5991,396,30266,18924
8722,291581,291696,-6003,460,26188,-22410
8724,292504,292619,-6010,454,30543,-23495
8726,293425,293541,-5978,437,25557,-21526
8728,294349,294464,-5985,430,30099,-22353
8730,295282,295398,-5987,432,28677,-21167
8732,296203,296319,-5975,386,26756,-25845
8734,297140,297255,-5959,420,28073,-23242
8736,298063,298179,-5991,396,30767,18714
8738,298984,299100,-5980,450,30624,19676
8740,299919,300034,-6007,441,27626,31030
8742,300842,300958,-5980,422,27171,-31755
8744,301774,301889,-6006,415,27783,31859
8746,302694,302810,-5973,405,26351,18709
8748,303617,303733,-5981,445,28119,30946
8750,304541,304657,-5988,453,30603,19501
8752,305471,305586,-5989,428,25958,-24516
8754,306394,306510,-6005,431,26269,-23487
8756,307339,307455,-5991,451,30128,-24877
8758,308300,308415,-5989,426,25607,-28238
8760,309223,309339,-5971,440,31421,-24824
8762,310157,310272,-5975,426,29703,27088
8764,311077,311193,-5978,412,30872,-19604
8766,312001,312116,-5984,403,27075,-29065
8768,312939,313054,-5971,422,26220,21991
8770,313860,313976,-5997,436,25379,-28326
8772,314784,314899,-5995,439,30071,22171
8774,315725,315841,-5995,423,27985,-22010
8776,316646,316762,-5992,449,26088,22291
8778,317570,317685,-6001,431,26416,-23523
8780,318493,318608,-6022,408,24274,-23916
8782,319414,319530,-5991,455,28402,-29455
8784,320338,320453,-6009,474,29025,26452
8786,321271,321387,-6007,465,29605,32644
8788,322192,322308,-5977,415,26204,27196
8790,323115,323231,-6013,445,26718,-25161
8792,324038,324154,-5994,413,30415,-22843
8794,324960,325075,-6003,443,30195,29367
8796,325893,326008,-5988,434,30547,-20486
8798,326816,326932,-5988,439,30506,-23699
8800,327737,327853,-6006,429,30968,20900
8802,328678,328793,-6018,406,26640,-22096
8804,329601,329717,-5977,434,27092,19925
8806,330531,330646,-6010,448,28112,27476
8808,331465,331581,-5964,435,28321,-18998
8810,332389,332504,-5968,443,25883,30729
